Seq Length,Accuracy
4,82.74237540292586
8,91.01070018501211
12,93.75160930392241
16,95.30022125581749
20,96.2283044058745
24,96.7154955367361
28,96.74232309746328
32,96.92530708781567
36,97.0989614625354
40,97.14857905779134
48,97.8484779125658
56,97.9973297730307
64,97.55874275251755
72,97.11637487126673
80,97.82567232500476
88,98.0696600923206
96,96.88715953307393
112,97.4365821094793
128,97.19255416539518
152,96.95652173913044
160,92.71548436308161
180,94.84978540772532
200,92.46542680019076
220,88.88306240167803
256,92.06349206349206
